id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse409_split-verse266_vert-15,12.960,34.530,0.100,0.100,1.360,4.470,1.270
sub-verse409_split-verse266_vert-23,8.570,30.150,6.340,6.020,4.430,10.560,0.840
sub-verse409_split-verse266_vert-8,1.050,6.440,2.310,0.550,2.320,0.260,0.380
sub-verse409_split-verse266_vert-9,2.390,23.870,0.570,0.570,1.590,1.630,0.090
sub-verse409_split-verse266_vert-22,4.330,18.740,2.220,0.850,2.150,6.200,1.320
sub-verse410_split-verse227_vert-2,2.810,23.240,1.670,0.870,3.840,4.050,0.670
sub-verse410_split-verse227_vert-4,1.330,72.380,0.170,1.290,0.720,2.620,0.790
sub-verse410_split-verse227_vert-3,4.070,50.300,1.550,1.490,0.180,1.580,0.160
sub-verse410_split-verse227_vert-5,0.300,19.860,1.710,2.030,0.500,3.110,1.000
sub-verse410_split-verse227_vert-6,1.440,3.520,1.060,0.700,0.060,0.260,0.500
sub-verse410_split-verse227_vert-7,0.930,4.980,1.490,2.820,3.150,1.690,0.590
sub-verse410_split-verse267_vert-11,0.070,55.560,1.430,0.050,1.920,3.470,0.580
sub-verse410_split-verse267_vert-10,9.200,14.800,0.930,1.420,1.220,4.880,0.210
sub-verse410_split-verse267_vert-12,10.140,34.880,0.850,0.310,1.070,2.590,0.370
sub-verse410_split-verse227_vert-8,0.170,13.490,1.100,2.710,0.490,0.770,0.210
sub-verse410_split-verse267_vert-13,1.610,4.540,0.210,0.780,2.320,1.150,0.020
sub-verse410_split-verse267_vert-14,3.430,4.780,0.960,0.760,0.080,0.700,0.020
sub-verse410_split-verse267_vert-15,1.700,1.790,1.230,0.090,0.690,0.260,0.010
sub-verse410_split-verse267_vert-17,0.510,2.190,0.610,0.110,0.870,2.880,0.650
sub-verse410_split-verse267_vert-18,0.200,98.960,0.930,1.820,0.260,0.050,0.340
sub-verse410_split-verse267_vert-16,0.290,2.760,1.650,1.470,0.120,0.450,0.470
sub-verse410_split-verse267_vert-20,0.260,8.180,0.920,0.580,1.760,0.400,0.170
sub-verse410_split-verse267_vert-19,1.160,5.630,0.630,0.570,3.600,1.950,0.280
sub-verse410_split-verse267_vert-21,0.740,9.470,0.320,0.230,3.900,2.930,0.600
sub-verse410_split-verse267_vert-24,0.100,0.130,1.260,2.980,0.820,0.260,2.260
sub-verse410_split-verse267_vert-8,0.860,7.880,0.890,1.710,2.350,0.320,0.390
sub-verse410_split-verse267_vert-22,2.250,4.560,1.450,0.390,3.750,1.390,0.280
sub-verse410_split-verse267_vert-23,2.060,13.930,2.150,0.490,1.960,3.730,0.830
sub-verse410_split-verse267_vert-9,0.830,22.650,0.140,0.310,2.500,1.260,0.250
