subject-id,DSC,ASD,HD95,NSD,model
s1276_femur_left_msk,0.95,0.67,2.24,0.93,TwoDPermuteConcat
s1276_femur_left_msk,0.95,0.67,2.24,0.93,AttentionUnet
s1276_femur_left_msk,0.94,0.72,2.24,0.93,UNet
s1276_femur_left_msk,0.95,0.74,2.24,0.9,MultiScale2DPermuteConcat
s1276_femur_right_msk,0.93,0.88,2.45,0.86,OneDConcat
s1276_femur_right_msk,0.94,0.76,2.24,0.89,MultiScale2DPermuteConcat
s1276_femur_right_msk,0.95,0.68,2.24,0.93,AttentionUnet
s1276_femur_right_msk,0.94,0.74,2.24,0.9,UNet
s1276_femur_right_msk,0.94,0.75,2.45,0.89,UNETR
s1276_femur_right_msk,0.93,0.96,2.83,0.85,TLPredictor
s1276_femur_right_msk,0.95,0.67,2.24,0.93,TwoDPermuteConcat
s0072_femur_left_msk,0.9,1.27,5.74,0.68,MultiScale2DPermuteConcat
s0072_femur_left_msk,0.82,2.25,7.28,0.4,OneDConcat
s0072_femur_left_msk,0.91,1.0,5.1,0.76,AttentionUnet
s0072_femur_left_msk,0.9,1.1,7.21,0.72,UNETR
s0072_femur_left_msk,0.85,1.86,8.06,0.5,TLPredictor
s0072_femur_left_msk,0.92,0.82,5.1,0.79,UNet
s0072_femur_left_msk,0.91,1.02,5.0,0.75,TwoDPermuteConcat
s0072_femur_right_msk,0.87,1.61,5.74,0.6,MultiScale2DPermuteConcat
s0072_femur_right_msk,0.89,1.22,9.27,0.67,UNETR
s0072_femur_right_msk,0.83,2.39,7.0,0.45,TLPredictor
s0072_femur_right_msk,0.9,0.99,8.19,0.73,TwoDPermuteConcat
s0072_femur_right_msk,0.91,1.17,4.9,0.72,AttentionUnet
s0072_femur_right_msk,0.92,0.88,5.48,0.78,UNet
s0072_femur_right_msk,0.81,2.45,6.78,0.39,OneDConcat
s0880_femur_left_msk,0.75,4.54,13.56,0.34,OneDConcat
s0880_femur_left_msk,0.88,1.69,5.39,0.58,AttentionUnet
